repeat_number,repeat_measurement_range,measurement_in_repeat,dataset_row,inference_ms,compute_ms,cycle_ms,period_ms,start_jitter_ms,lateness_ms,deadline_miss
1,1–40,1,1,0.3485569999384097,0.8402729999943404,0.8984590000409298,100,0.004726999918602814,0.0,0
1,1–40,2,2,0.4795370000465482,1.1693999999806692,1.228448999995635,100,0.17065999998067127,0.0,0
1,1–40,3,3,0.4663879999498022,1.1388699999770324,1.1889139999539111,100,8.168667999939316,0.0,0
1,1–40,4,4,0.46229700001276797,1.1447069999803716,1.195615000028738,100,0.11967600005391432,0.0,0
1,1–40,5,5,0.4939200000535493,1.2067119999983333,1.2686339999845586,100,0.16530899995359505,0.0,0
1,1–40,6,6,0.4426080000712318,1.1248150000255919,1.1794790000294597,100,1.8975399999590081,0.0,0
1,1–40,7,7,0.4027920000453378,1.0130519999620446,1.055298999972365,100,2.15587399998185,0.0,0
1,1–40,8,8,1.664639000068746,2.4262660000431424,2.4826019999864,100,1.161566999940078,0.0,0
1,1–40,9,9,0.46451100001831946,1.1500260000048002,1.201010000045244,100,1.169645999993918,0.0,0
1,1–40,10,10,0.47555200001170306,1.1378529999319653,1.1893509999936214,100,1.1618800000405827,0.0,0
1,1–40,11,11,0.4884449999735807,1.1486660000628035,1.2005009999711547,100,1.1587729999291696,0.0,0
1,1–40,12,12,0.4616850000047634,1.1605810000219208,1.2082939999800146,100,3.1617159999086653,0.0,0
1,1–40,13,13,0.5431010000620518,1.2618659999361626,1.320848000091246,100,0.09347299987894075,0.0,0
1,1–40,14,14,0.4853899999943678,1.160893000019314,1.2093399999457688,100,3.1657970000651403,0.0,0
1,1–40,15,15,0.47857399999884365,1.1327219999657245,1.1776259999578542,100,4.157202999977017,0.0,0
1,1–40,16,16,0.4715289999239758,1.1254170000256636,1.1738360000208559,100,0.11696899991875398,0.0,0
1,1–40,17,17,0.4646819999152285,1.1410250000380984,1.1973800000077972,100,2.1621259999164977,0.0,0
1,1–40,18,18,1.8483990000959238,2.564707000033195,2.625124000019241,100,0.09180899996863445,0.0,0
1,1–40,19,19,0.46905199997127056,1.1264120000760158,1.1860640000804779,100,3.1613800000513947,0.0,0
1,1–40,20,20,0.4306150000275011,1.0584489999700963,1.0997609999776614,100,4.162350000001425,0.0,0
1,1–40,21,21,0.4963119999956689,1.217829999973219,1.2811369999781164,100,8.16467099991769,0.0,0
1,1–40,22,22,0.44836699998995755,1.1136980000401309,1.1627119999957358,100,2.164681999943241,0.0,0
1,1–40,23,23,0.4474620000110008,1.0910830000057103,1.1402019999877666,100,2.1699259999650167,0.0,0
1,1–40,24,24,0.46742899996843335,1.1116169999922931,1.1610850000352002,100,2.1600600000510894,0.0,0
1,1–40,25,25,0.4602049999675728,1.1004469999988942,1.1469929999066153,100,2.1632259999933012,0.0,0
1,1–40,26,26,0.5001089999723263,1.2167469999440073,1.2770409999802723,100,0.15313799997329625,0.0,0
1,1–40,27,27,0.45639099994332355,1.1222540000517256,1.1743259999548172,100,3.1671559999040255,0.0,0
1,1–40,28,28,0.5547160000105578,1.2688919999845893,1.3120480000452517,100,2.16405199989822,0.0,0
1,1–40,29,29,0.5217840000568685,1.1890980000544005,1.2405019999732758,100,2.161172000000988,0.0,0
1,1–40,30,30,0.46169100005499786,1.1243069999409272,1.1689909999859083,100,0.1175329999796304,0.0,0
1,1–40,31,31,0.4373430000441658,1.0969780000777973,1.140088000056494,100,2.1594449999611243,0.0,0
