repeat_number,repeat_measurement_range,measurement_in_repeat,dataset_row,inference_ms,compute_ms,cycle_ms,period_ms,start_jitter_ms,lateness_ms,deadline_miss
1,1–40,1,1,0.3482430001895409,0.849388000460749,0.9008900005937903,100,0.0036769997677765787,0.0,0
1,1–40,2,2,0.2826870004355442,0.7133369999792194,0.7490609996239073,100,0.13248899995232932,0.0,0
1,1–40,3,3,0.27703800060407957,0.7614389996888349,0.8014320001166197,100,0.1438470007997239,0.0,0
1,1–40,4,4,0.2781180000965833,0.7404859998132451,0.778820000050473,100,0.14472499969997443,0.0,0
1,1–40,5,5,0.4744259995277389,1.093319000574411,1.1524510000526789,100,0.1081080008589197,0.0,0
1,1–40,6,6,0.26669999988371274,0.7018530004643253,0.7394229996862123,100,0.11260700011916924,0.0,0
1,1–40,7,7,0.293885999781196,0.7725969999228255,0.8135159996527364,100,0.1642319994061836,0.0,0
1,1–40,8,8,0.26430100024299463,0.7052549999571056,0.7444600005328539,100,0.1353760007987148,0.0,0
1,1–40,9,9,0.29277900011948077,0.7379039998340886,0.7968539994180901,100,0.15128599989111535,0.0,0
1,1–40,10,10,0.28357999963191105,0.7353199998760829,0.7765179998386884,100,0.15047800025058677,0.0,0
1,1–40,11,11,0.26487499962968286,0.7090049994076253,0.7509860006393865,100,0.14485900010186015,0.0,0
1,1–40,12,12,0.26265399992553284,0.6922090005900827,0.732170999981463,100,0.1286309998249635,0.0,0
1,1–40,13,13,0.3385520003575948,0.8306839999931981,0.8699319996594568,100,0.16978200073936023,0.0,0
1,1–40,14,14,0.3404650005904841,0.8570750005674199,0.8994380004878622,100,0.15134200020838762,0.0,0
1,1–40,15,15,0.2538369999456336,0.706383999386162,0.7476649998352514,100,0.09846300054050516,0.0,0
1,1–40,16,16,0.44030699973518495,1.1090829993918305,1.159014000222669,100,0.10001000009651762,0.0,0
1,1–40,17,17,0.26149699988309294,0.6884310005261796,0.7300010001927149,100,0.1459260001865914,0.0,0
1,1–40,18,18,0.26833300034923013,0.7177229999797419,0.7543760002590716,100,0.14968699997552903,0.0,0
1,1–40,19,19,0.26467600036994554,0.695660999554093,0.7321829998545581,100,0.1549420003357227,0.0,0
1,1–40,20,20,0.2622559995870688,0.6969319993004319,0.7338200002777739,100,0.1407530007782043,0.0,0
1,1–40,21,21,0.24943900007201592,0.6734540002071299,0.7117570003174478,100,0.2000880003834027,0.0,0
1,1–40,22,22,0.25575300060154404,0.6798940003136522,0.7178420000855112,100,0.09197300005325815,0.0,0
1,1–40,23,23,0.2670320000106585,0.6997880000199075,0.7375599998340476,100,0.1316840007348219,0.0,0
1,1–40,24,24,0.2706539999053348,0.6988080003793584,0.735268999960681,100,0.145398999848112,0.0,0
1,1–40,25,25,0.25489000017842045,0.6976939994274289,0.7357980002780096,100,0.09190400032821344,0.0,0
1,1–40,26,26,0.2581939997980953,0.6966840001041419,0.7325159995161812,100,0.098565000371309,0.0,0
1,1–40,27,27,0.3690069997901446,0.9039610004037968,0.9427540007891366,100,0.15279699982784223,0.0,0
1,1–40,28,28,0.27295900054014055,0.7063409993861569,0.7439549999617157,100,0.12363800033199368,0.0,0
1,1–40,29,29,0.34795999999914784,0.8028600004763575,0.8459589998892625,100,0.15255899961630348,0.0,0
1,1–40,30,30,0.27665499965223717,0.7089410000844509,0.7442790001732646,100,0.13754900010098936,0.0,0
1,1–40,31,31,0.27514900011738064,0.7260749998749816,0.766293000197038,100,0.14653200014436152,0.0,0
1,1–40,32,32,0.25680100043246057,0.703560000147263,0.7438249995175283,100,0.09646099988458445,0.0,0
1,1–40,33,33,0.34121500084438594,0.8219760002248222,0.8614889993623365,100,0.1391770001646364,0.0,0
1,1–40,34,34,0.26248399990436155,0.697593000040797,0.7342160006373888,100,0.13588599995273398,0.0,0
1,1–40,35,35,0.2671060001375736,0.7017249999989872,0.7397800000035204,100,0.14554400058841566,0.0,0
1,1–40,36,36,0.26261800030624727,0.7127819999368512,0.7486859994969564,100,0.12184499973955099,0.0,0
1,1–40,37,37,0.28035800005454803,0.7581129993923241,0.7944369999677292,100,0.1450809995731106,0.0,0
1,1–40,38,38,0.2595249998194049,0.6867270003567683,0.7233770002130768,100,0.1398840004185331,0.0,0
1,1–40,39,39,0.26696999975683866,0.7105519998731324,0.7464239997716504,100,0.14809300046181306,0.0,0
1,1–40,40,40,0.25868699958664365,0.7325910000872682,0.7716840000284719,100,0.14124700010142988,0.0,0
2,41–80,1,1,0.333637999574421,0.8443520000582794,0.8835239996187738,100,0.14814099995419383,0.0,0
2,41–80,2,2,0.30729199988854816,0.7615820004502893,0.8025480001379037,100,0.11757299944292754,0.0,0
2,41–80,3,3,0.2887339996959781,0.7185240001490456,0.7557330000054208,100,0.1407610006936011,0.0,0
2,41–80,4,4,0.31375500020658365,0.7581119998576469,0.7947399999466143,100,0.14436899982683826,0.0,0
2,41–80,5,5,0.29105799967510393,0.7283109998752479,0.7643459994142177,100,0.1467300007789163,0.0,0
2,41–80,6,6,0.2589900004750234,0.7210140001916443,0.7566989997940254,100,0.10074500005430309,0.0,0
2,41–80,7,7,0.3413360000195098,0.7810540000718902,0.8195899999918765,100,0.12923099984618602,0.0,0
2,41–80,8,8,0.2619760007291916,0.691044000632246,0.72733400065772,100,0.14418400041904533,0.0,0
2,41–80,9,9,0.2685760000531445,0.7471540002370602,0.7868569991842378,100,0.1556130000608391,0.0,0
2,41–80,10,10,0.2864849993784446,0.7452279996869038,0.7866040004955721,100,0.1432920007573557,0.0,0
2,41–80,11,11,0.2660530008142814,0.7244259995786706,0.7616310003868421,100,0.1409940005032695,0.0,0
2,41–80,12,12,0.28612099958991166,0.7485340001949226,0.7869170003687032,100,0.10103200020239456,0.0,0
2,41–80,13,13,0.26273700041201664,0.7091170000421698,0.754597999730322,100,0.14229400039766915,0.0,0
2,41–80,14,14,0.29522600016207434,0.7713960003457032,0.8087619999059825,100,0.1540650000606547,0.0,0
2,41–80,15,15,0.2807499995469698,0.7320569993680692,0.7715749998169485,100,0.13939700056653237,0.0,0
2,41–80,16,16,0.2615140001580585,0.6869959997857222,0.7208369997897535,100,0.11498599997139536,0.0,0
2,41–80,17,17,0.3145850005239481,0.9241540001312387,0.9736649999467772,100,0.10907199975918047,0.0,0
2,41–80,18,18,0.35128700073983055,0.8407759996771347,0.8771110005909577,100,0.14916400050424272,0.0,0
2,41–80,19,19,0.2803630004564184,0.7080810000843485,0.7403859999612905,100,0.1367209997624741,0.0,0
2,41–80,20,20,0.33152400010294514,0.77277799937292,0.8087870000963449,100,0.13178000062907813,0.0,0
2,41–80,21,21,0.2884479999920586,0.7300159995793365,0.764102000175626,100,0.13650599976244848,0.0,0
2,41–80,22,22,0.2604929995868588,0.686671000039496,0.7229139991977718,100,0.08918299954530085,0.0,0
2,41–80,23,23,0.26459299988346174,0.715743000000657,0.7492289996662294,100,0.14909300080034882,0.0,0
2,41–80,24,24,0.27246900026511867,0.6982579998293659,0.7327909997911775,100,0.13983000008011004,0.0,0
2,41–80,25,25,0.25549400015734136,0.6776580003133859,0.7132069995350321,100,0.15211500067380257,0.0,0
2,41–80,26,26,0.25294099941675086,0.6928439997864189,0.7278559996848344,100,0.09457699979975587,0.0,0
2,41–80,27,27,0.3886149997924804,0.9660539999458706,1.0041079995062319,100,0.14084699978411663,0.0,0
2,41–80,28,28,0.3006899996762513,0.7536780003647436,0.7881569999881322,100,0.14116300008026883,0.0,0
