measurement_number,Run_1_time_ms,Run_2_time_ms,Run_3_time_ms,Run_4_time_ms,Run_5_time_ms,Run_6_time_ms,Run_7_time_ms,Run_8_time_ms,Run_9_time_ms,Run_10_time_ms
0,0.7669925689697266,0.7321834564208984,0.7429122924804688,0.7424354553222656,0.7355213165283203,0.7383823394775391,1.224994659423828,0.7433891296386719,0.7402896881103516,0.7548332214355469
1,0.4382133483886719,0.4930496215820312,0.4286766052246094,0.4277229309082031,0.4301071166992187,0.4291534423828125,0.4966259002685547,0.4289150238037109,0.4940032958984375,0.4425048828125
2,0.335693359375,0.3354549407958984,0.3299713134765625,0.3306865692138672,0.3304481506347656,0.335693359375,0.3640651702880859,0.3349781036376953,0.3483295440673828,0.3407001495361328
3,0.3161430358886719,0.3137588500976562,0.314950942993164,0.3139972686767578,0.3604888916015625,0.3504753112792969,0.3328323364257812,0.3170967102050781,0.3201961517333984,0.3247261047363281
4,0.3216266632080078,0.3144741058349609,0.3161430358886719,0.3182888031005859,0.3328323364257812,0.3299713134765625,0.3345012664794922,0.3693103790283203,0.3206729888916015,0.3311634063720703
5,0.3080368041992187,0.303506851196289,0.3674030303955078,0.3075599670410156,0.3077983856201172,0.3273487091064453,0.318765640258789,0.3325939178466797,0.3101825714111328,0.3182888031005859
6,0.3037452697753906,0.3004074096679687,0.3137588500976562,0.3015995025634765,0.3015995025634765,0.3602504730224609,0.3175735473632812,0.308990478515625,0.3068447113037109,0.3120899200439453
7,0.3032684326171875,0.2977848052978515,0.303506851196289,0.2977848052978515,0.3011226654052734,0.3201961517333984,0.3137588500976562,0.3054141998291015,0.3039836883544922,0.3101825714111328
8,0.3011226654052734,0.2977848052978515,0.3008842468261719,0.2954006195068359,0.2956390380859375,0.3743171691894531,0.360727310180664,0.3032684326171875,0.3020763397216797,0.3063678741455078
9,0.3027915954589844,0.2985000610351562,0.2980232238769531,0.2961158752441406,0.2951622009277344,0.3106594085693359,0.3662109375,0.3001689910888672,0.3020763397216797,0.3681182861328125
10,0.3559589385986328,0.2925395965576172,0.29754638671875,0.4453659057617187,0.2954006195068359,0.30517578125,0.3244876861572265,0.2980232238769531,0.3004074096679687,0.314950942993164
11,0.3216266632080078,0.3056526184082031,0.3068447113037109,0.7326602935791016,0.3054141998291015,0.3144741058349609,0.3283023834228515,0.3070831298828125,0.3068447113037109,0.3213882446289062
12,0.3032684326171875,0.2942085266113281,0.3025531768798828,0.8189678192138672,0.2951622009277344,0.3008842468261719,0.3151893615722656,0.3008842468261719,0.2973079681396484,0.3082752227783203
13,0.3004074096679687,0.3230571746826172,0.2961158752441406,0.5967617034912109,0.2942085266113281,0.3020763397216797,0.31280517578125,0.3008842468261719,0.32806396484375,0.9663105010986328
14,0.2994537353515625,0.3046989440917969,0.2951622009277344,0.4205703735351562,0.2908706665039062,0.2973079681396484,0.3104209899902344,0.2973079681396484,0.3135204315185547,0.4634857177734375
15,0.2965927124023437,0.2946853637695312,0.2942085266113281,0.3204345703125,0.2913475036621094,0.2985000610351562,0.3070831298828125,0.2980232238769531,0.3004074096679687,0.3335475921630859
16,0.2951622009277344,0.292062759399414,0.2934932708740234,0.3046989440917969,0.3249645233154297,0.2968311309814453,0.3054141998291015,0.2951622009277344,0.2999305725097656,0.3144741058349609
17,0.3201961517333984,0.3180503845214844,0.322580337524414,0.3755092620849609,0.3290176391601562,0.29754638671875,0.3418922424316406,0.3983974456787109,0.3252029418945312,0.3435611724853515
18,0.2977848052978515,0.2961158752441406,0.3399848937988281,0.3254413604736328,0.2987384796142578,0.2994537353515625,0.31280517578125,0.3316402435302734,0.3046989440917969,0.3685951232910156
19,0.2961158752441406,0.2877712249755859,0.2970695495605469,0.3027915954589844,0.2949237823486328,0.295877456665039,0.3099441528320312,0.3044605255126953,0.2970695495605469,0.3273487091064453
20,0.2956390380859375,0.2906322479248047,0.2961158752441406,0.3008842468261719,0.2954006195068359,0.3380775451660156,1.8324851989746096,0.2994537353515625,0.3025531768798828,0.3108978271484375
21,0.295877456665039,0.2858638763427734,0.293731689453125,0.2973079681396484,0.2906322479248047,0.3092288970947265,0.6458759307861328,0.2980232238769531,0.2970695495605469,0.3046989440917969
22,0.2968311309814453,0.2872943878173828,0.2906322479248047,0.2951622009277344,0.2913475036621094,0.2985000610351562,0.5185604095458984,0.2949237823486328,0.2963542938232422,0.3056526184082031
23,0.3457069396972656,0.2849102020263672,0.2892017364501953,0.2915859222412109,0.2903938293457031,0.2961158752441406,0.5731582641601562,0.295877456665039,0.2961158752441406,0.307321548461914
24,0.2987384796142578,0.2870559692382812,0.2911090850830078,0.2913475036621094,0.2875328063964844,0.2946853637695312,0.5064010620117188,0.2954006195068359,0.2949237823486328,0.3046989440917969
25,0.2999305725097656,0.2849102020263672,0.2887248992919922,0.2946853637695312,0.2884864807128906,0.2927780151367187,0.5190372467041016,0.2925395965576172,0.2925395965576172,0.3044605255126953
26,0.3068447113037109,0.3328323364257812,0.3006458282470703,0.3061294555664062,0.2985000610351562,0.3058910369873047,0.3848075866699219,0.3032684326171875,0.3397464752197265,0.3135204315185547
27,0.2925395965576172,0.303506851196289,0.2915859222412109,0.2946853637695312,0.2872943878173828,0.295877456665039,0.316619873046875,0.2961158752441406,0.3044605255126953,0.3018379211425781
28,0.2930164337158203,0.2932548522949219,0.2896785736083984,0.2954006195068359,0.2887248992919922,0.2980232238769531,0.3061294555664062,0.2944469451904297,0.2982616424560547,0.2985000610351562
29,0.2923011779785156,0.2875328063964844,0.2889633178710937,0.2956390380859375,0.3163814544677734,0.2946853637695312,0.3015995025634765,0.2934932708740234,0.2961158752441406,0.3025531768798828
30,0.2911090850830078,0.2858638763427734,0.2899169921875,0.3206729888916015,0.29754638671875,0.293731689453125,0.2999305725097656,0.3321170806884765,0.2923011779785156,0.3004074096679687
31,0.2911090850830078,0.2880096435546875,0.3349781036376953,0.3056526184082031,0.2915859222412109,0.293731689453125,0.3941059112548828,0.2977848052978515,0.2934932708740234,0.3373622894287109
32,0.2899169921875,0.2851486206054687,0.293731689453125,0.2942085266113281,0.2899169921875,0.2908706665039062,0.3504753112792969,0.2951622009277344,0.2927780151367187,0.3056526184082031
33,0.2894401550292969,0.2839565277099609,0.2903938293457031,0.2923011779785156,0.2884864807128906,0.3144741058349609,0.3371238708496094,0.2961158752441406,0.2925395965576172,0.3044605255126953
34,0.288248062133789,0.2856254577636719,0.2863407135009765,0.292062759399414,0.2908706665039062,0.3011226654052734,0.3197193145751953,0.2906322479248047,0.2930164337158203,0.3030300140380859
35,0.2896785736083984,0.2846717834472656,0.2870559692382812,0.2903938293457031,0.2892017364501953,0.2980232238769531,0.3366470336914062,0.2923011779785156,0.2942085266113281,0.3037452697753906
36,0.3561973571777344,0.2853870391845703,0.2887248992919922,0.2903938293457031,0.2865791320800781,0.2951622009277344,0.5047321319580078,0.2911090850830078,0.2918243408203125,0.2999305725097656
37,0.3015995025634765,0.2853870391845703,0.286102294921875,0.2925395965576172,0.2884864807128906,0.2930164337158203,0.3337860107421875,0.2911090850830078,0.2901554107666015,0.2992153167724609
38,0.295877456665039,0.2846717834472656,0.286102294921875,0.292062759399414,0.2872943878173828,0.2923011779785156,0.307321548461914,0.2901554107666015,0.2915859222412109,0.3001689910888672
39,0.2973079681396484,0.2818107604980469,0.2884864807128906,0.2930164337158203,0.2858638763427734,0.2915859222412109,0.3032684326171875,0.2906322479248047,0.318765640258789,0.2985000610351562
