model,target,MAE,RMSE,R2,cycle_mean_ms,cycle_p95_ms,cycle_p99_ms,cycle_max_ms,deadline_miss_%,realtime_ok
GradientBoostingRegressor_dataset1_MFR,MFR,0.678716647174357,1.2329839067857178,0.9153725511146908,1.0526266499937265,1.2434626498588834,2.247309239942296,2.7485699997669144,0.0,True
SVR_dataset1_MFR,MFR,0.8646429946225652,1.2791930869016541,0.9089104324323204,0.9851241499973185,1.160223600209065,1.2612090600759984,1.317348000156926,0.0,True
LinearTreeRegressor_dataset1_MFR,MFR,1.1125611410884642,1.7041929363812627,0.8383283187209215,0.9812401249746472,1.0775542500368829,1.1352084998679857,1.1536749998413143,0.0,True
ExtraTreesRegressor_dataset1_MFR,MFR,1.2148028270552975,1.7151891631937854,0.8362352294286228,16.28795350004566,19.788745600067152,22.537440480155055,22.89525300011519,10.0,False
RandomForestRegressor_dataset1_MFR,MFR,1.3580151652796715,2.194389194806716,0.7319451032509257,9.041647274989373,9.717982500137623,10.154537830144363,10.40055100020254,0.0,True
