measurement_number,Run_1_time_ms,Run_2_time_ms,Run_3_time_ms,Run_4_time_ms,Run_5_time_ms,Run_6_time_ms,Run_7_time_ms,Run_8_time_ms,Run_9_time_ms,Run_10_time_ms
0,0.5984306335449219,0.5900859832763672,0.5953311920166016,0.5884170532226562,0.6468296051025391,0.6008148193359375,0.6518363952636719,0.5939006805419922,0.5772113800048828,0.58746337890625
1,0.3840923309326172,0.3764629364013672,0.3793239593505859,0.3843307495117187,0.8392333984375,0.3829002380371094,0.3778934478759765,0.3833770751953125,0.3924369812011719,0.3750324249267578
2,0.3578662872314453,0.32806396484375,0.335693359375,0.4181861877441406,0.7226467132568359,0.334024429321289,0.32806396484375,0.3359317779541015,0.3297328948974609,0.3330707550048828
3,0.3297328948974609,0.3209114074707031,0.3261566162109375,0.3311634063720703,0.5660057067871094,0.3252029418945312,0.3151893615722656,0.3252029418945312,0.3216266632080078,0.3767013549804687
4,0.3604888916015625,0.3213882446289062,0.341653823852539,0.5564689636230469,0.3938674926757812,0.3898143768310547,0.3170967102050781,0.3862380981445312,0.3182888031005859,0.3304481506347656
5,0.3349781036376953,0.3333091735839844,0.3287792205810547,0.4277229309082031,0.3736019134521484,0.3237724304199219,0.3170967102050781,0.3223419189453125,0.3204345703125,0.3228187561035156
6,0.3142356872558594,0.3147125244140625,0.3137588500976562,0.3309249877929687,0.3211498260498047,0.3142356872558594,0.3070831298828125,0.3142356872558594,0.3178119659423828,0.314950942993164
7,0.3118515014648437,0.31280517578125,0.3125667572021484,0.3218650817871094,0.3237724304199219,0.3170967102050781,0.331878662109375,0.3130435943603515,0.3094673156738281,0.3137588500976562
8,0.308990478515625,0.3070831298828125,0.314950942993164,0.379800796508789,0.3409385681152344,0.3104209899902344,0.3125667572021484,0.3075599670410156,0.3476142883300781,0.3108978271484375
9,0.3745555877685547,0.3075599670410156,0.3104209899902344,0.3576278686523437,0.3333091735839844,0.3085136413574219,0.3087520599365234,0.3070831298828125,0.330209732055664,0.3104209899902344
10,0.4515647888183594,0.3094673156738281,0.3123283386230469,0.3392696380615234,0.3194808959960937,0.3118515014648437,0.3070831298828125,0.3097057342529297,0.3137588500976562,0.3144741058349609
11,0.4754066467285156,0.3139972686767578,0.3511905670166015,0.324249267578125,0.3142356872558594,0.3139972686767578,0.3101825714111328,0.3116130828857422,0.3147125244140625,0.3762245178222656
12,0.3290176391601562,0.3426074981689453,0.3178119659423828,0.316619873046875,0.4186630249023437,0.3256797790527344,0.3027915954589844,0.3557205200195312,0.3061294555664062,0.3154277801513672
13,0.3206729888916015,0.311136245727539,0.3125667572021484,0.3137588500976562,0.3249645233154297,0.31280517578125,0.3032684326171875,0.3206729888916015,0.30517578125,0.3097057342529297
14,0.3154277801513672,0.307321548461914,0.3130435943603515,0.3120899200439453,0.3159046173095703,0.31280517578125,0.3042221069335937,0.3113746643066406,0.3044605255126953,0.3075599670410156
15,0.31280517578125,0.3106594085693359,0.3106594085693359,0.311136245727539,0.3101825714111328,0.3130435943603515,0.3139972686767578,0.3113746643066406,0.307321548461914,0.3075599670410156
16,0.3402233123779297,0.3054141998291015,0.3097057342529297,0.3252029418945312,0.307321548461914,0.3085136413574219,0.3044605255126953,0.3080368041992187,0.3485679626464844,0.3070831298828125
17,0.3163814544677734,0.3020763397216797,0.3104209899902344,0.3113746643066406,0.3070831298828125,0.3046989440917969,0.3032684326171875,0.3292560577392578,0.3066062927246094,0.3054141998291015
18,0.3092288970947265,0.3027915954589844,0.3099441528320312,0.308990478515625,0.3092288970947265,0.3054141998291015,0.2989768981933594,0.3151893615722656,0.3006458282470703,0.3023147583007812
19,0.3108978271484375,0.303506851196289,0.3435611724853515,0.3094673156738281,0.3097057342529297,0.3521442413330078,0.3020763397216797,0.3926753997802734,0.3023147583007812,0.3223419189453125
20,0.3066062927246094,0.3373622894287109,0.3125667572021484,0.3061294555664062,0.3216266632080078,0.3113746643066406,0.3004074096679687,0.32806396484375,0.3015995025634765,0.3092288970947265
21,0.3106594085693359,0.3104209899902344,0.3094673156738281,0.3063678741455078,0.3061294555664062,0.3070831298828125,0.2999305725097656,0.3168582916259765,0.303506851196289,0.30517578125
22,0.3106594085693359,0.303506851196289,0.3106594085693359,0.3046989440917969,0.3068447113037109,0.303506851196289,0.2973079681396484,0.3099441528320312,0.3011226654052734,0.3056526184082031
23,0.3077983856201172,0.3044605255126953,0.3120899200439453,0.3497600555419922,0.3061294555664062,0.3075599670410156,0.318765640258789,0.3099441528320312,0.2994537353515625,0.3042221069335937
24,0.3159046173095703,0.3044605255126953,0.3101825714111328,0.3192424774169922,0.30517578125,0.30517578125,0.3044605255126953,0.3068447113037109,0.331878662109375,0.3027915954589844
25,0.3099441528320312,0.3066062927246094,0.3080368041992187,0.3094673156738281,0.3070831298828125,0.3094673156738281,0.307321548461914,0.3099441528320312,0.3070831298828125,0.3106594085693359
26,0.3159046173095703,0.308990478515625,0.3147125244140625,0.3113746643066406,0.3113746643066406,0.3123283386230469,0.3094673156738281,0.31280517578125,0.3077983856201172,0.3118515014648437
27,0.3066062927246094,0.3049373626708984,0.3259181976318359,0.3044605255126953,0.3044605255126953,0.3397464752197265,0.2992153167724609,0.3249645233154297,0.3023147583007812,0.3151893615722656
28,0.3125667572021484,0.3480911254882812,0.3147125244140625,0.3099441528320312,0.3361701965332031,0.3159046173095703,0.3094673156738281,0.314950942993164,0.3061294555664062,0.3144741058349609
29,0.3032684326171875,0.3077983856201172,0.3087520599365234,0.303506851196289,0.3070831298828125,0.3058910369873047,0.3015995025634765,0.3092288970947265,0.3015995025634765,0.303506851196289
