Model,Target,MAE,MSE,RMSE,R2,Mean_Time_ms,Min_Time_ms,Max_Time_ms,Std_Time_ms,Total_Time_ms
SVR_dataset1_MFR,MFR,0.8646429946225656,1.63633495357699,1.279193086901657,0.90891043243232,0.521271250022437,0.3037920005226624,1.2046339998050826,0.26815981091211744,20.85085000089748
LinearTreeRegressor_dataset1_MFR,MFR,1.1125612364558957,2.9042726546668867,1.704192669467536,0.8383283693635297,0.8440605750365648,0.5790679997517145,2.279733000250417,0.4126165362562478,33.762423001462594
ExtraTreesRegressor_dataset1_MFR,MFR,1.2148028270552975,2.941873865537398,1.7151891631937854,0.8362352294286228,14.33816242499688,13.372030000027735,19.284017000245512,1.4444892520975714,573.5264969998752
RandomForestRegressor_dataset1_MFR,MFR,1.3580151652796715,4.815343938284466,2.194389194806716,0.7319451032509257,14.303254399987964,13.324326999281766,20.225302000653755,1.6637706446918459,572.1301759995185
SVR_poly_dataset1_poly_MFR,MFR,3.6682665108293584,28.052422257487393,5.296453743542692,-0.5615892131832183,0.44134114993994444,0.30166299984557554,1.622740000129852,0.2134408496163181,17.653645997597778
