model,target,MAE,RMSE,R2,cycle_mean_ms,cycle_p95_ms,cycle_p99_ms,cycle_max_ms,deadline_miss_%,realtime_ok
ExtraTreesRegressor_dataset1_DD,DD,1.142078927358583,1.9129721396721726,0.6203382497336292,16.921842174906487,23.780379749541666,28.94639136002297,28.986278999582282,0.0,True
SVR_dataset1_DD,DD,1.371640587835699,2.433312755064702,0.38570720619397014,1.9460916999605615,2.5700196996240265,2.6233581404903816,2.6426920003359555,0.0,True
RandomForestRegressor_dataset1_DD,DD,1.5332559372096919,2.2850962048249923,0.4582629562598871,13.814700050033935,14.222254849937597,16.20144082020488,17.24939500036271,0.0,True
LinearTreeRegressor_dataset1_DD,DD,1.8959747933262805,3.3229154271595314,-0.14556076673215346,1.4399900499711293,2.1554417498919065,2.9004401700240114,3.3398129999113735,0.0,True
