measurement_number,Run_1_time_ms,Run_2_time_ms,Run_3_time_ms,Run_4_time_ms,Run_5_time_ms
0,9.701251983642578,9.157657623291016,9.251832962036133,9.464740753173828,9.443521499633787
1,8.882761001586914,9.055137634277344,8.85915756225586,8.923053741455078,8.56161117553711
2,8.758544921875,9.003400802612305,11.718273162841797,9.24229621887207,8.443117141723633
3,8.774280548095703,8.541584014892578,10.358333587646484,8.904457092285156,8.645772933959961
4,9.098052978515623,8.710145950317383,8.801460266113281,8.79526138305664,8.778095245361328
5,8.797645568847656,8.73708724975586,9.196043014526367,11.284589767456056,8.87155532836914
6,8.620977401733398,9.47260856628418,9.594440460205078,9.33980941772461,8.643865585327148
7,13.36669921875,8.812189102172852,8.812665939331055,8.863449096679688,8.327007293701172
8,15.723943710327148,10.983705520629885,8.67462158203125,9.897947311401367,8.721113204956055
9,14.160394668579102,9.108781814575195,8.790969848632812,10.252714157104492,8.391857147216797
10,9.344816207885742,8.692026138305664,9.1400146484375,9.402990341186523,8.681774139404297
11,8.707523345947266,8.504390716552734,8.922815322875977,8.991479873657227,8.524179458618164
12,8.735418319702148,8.516073226928711,8.824825286865234,8.767843246459961,8.520364761352539
13,8.745193481445312,8.89444351196289,10.597705841064451,8.903980255126953,8.480072021484375
14,8.573770523071289,8.573055267333984,12.00413703918457,8.59212875366211,8.643865585327148
15,8.713483810424805,8.419275283813477,10.289192199707031,8.651494979858398,8.723258972167969
16,12.202024459838867,8.727550506591797,9.039640426635742,8.879423141479492,8.636236190795898
17,12.08949089050293,8.508682250976562,8.631706237792969,14.282941818237305,8.72659683227539
18,10.686397552490234,8.453369140625,8.656740188598633,20.130634307861328,8.710384368896484
19,9.215116500854492,8.50534439086914,8.597373962402344,17.127275466918945,8.742570877075195
20,9.664058685302734,9.859800338745115,9.065866470336914,18.476247787475582,9.637117385864258
21,8.985757827758789,8.980512619018555,8.978605270385742,18.91469955444336,8.732795715332031
22,8.769750595092773,8.730411529541016,8.675336837768555,17.257213592529297,8.746862411499023
23,8.682727813720703,8.765697479248047,8.830070495605469,18.96977424621582,8.823633193969727
24,8.819818496704102,9.067058563232422,8.678197860717773,17.185449600219727,8.860588073730469
25,8.886337280273438,9.35220718383789,8.720159530639648,18.094301223754883,9.166955947875977
26,9.72580909729004,9.607315063476562,8.530616760253906,16.69907569885254,9.003877639770508
27,9.13715362548828,9.104251861572266,8.697509765625,14.472007751464844,8.740901947021484
28,8.954524993896484,8.664846420288086,8.755922317504883,13.8702392578125,10.222673416137695
29,9.042024612426758,8.532285690307617,8.70370864868164,14.264345169067385,9.077072143554688
30,8.6669921875,8.700370788574219,8.60142707824707,18.38207244873047,8.945941925048828
31,8.634805679321289,9.108781814575195,8.816719055175781,12.891530990600586,8.646011352539062
32,11.06548309326172,8.730649948120117,8.735418319702148,14.780998229980469,8.818387985229492
33,9.12785530090332,8.435249328613281,8.709430694580078,14.767169952392578,9.116411209106444
34,8.716821670532227,8.54945182800293,8.531570434570312,15.410184860229492,8.831024169921875
35,8.613348007202148,8.592367172241211,9.180545806884766,16.3424015045166,8.623600006103516
36,8.597373962402344,8.392095565795898,8.742332458496094,16.013145446777344,8.65030288696289
37,8.94021987915039,8.341312408447266,9.14764404296875,15.987873077392578,8.671760559082031
38,8.562803268432617,8.759737014770508,8.71586799621582,14.30988311767578,9.613275527954102
39,8.463144302368164,8.429288864135742,8.623361587524414,15.103578567504885,8.574247360229492
