Model,Target,MAE,MSE,RMSE,R2,Mean_Time_ms,Min_Time_ms,Max_Time_ms,Std_Time_ms,Total_Time_ms
GradientBoostingRegressor_dataset1_MFR,MFR,0.6478705647691129,1.4684391159257137,1.211791696590513,0.9189600800078439,0.3874706153853006,0.327304000023787,0.6580389999726322,0.06430726873960918,15.111354000026722
SVR_dataset1_MFR,MFR,0.7754100580154547,1.1942754076935738,1.0928290843922364,0.9340905711115755,0.1787132051265125,0.15581100001327286,0.33906900000602036,0.0321628887126715,6.969814999933988
LinearTreeRegressor_dataset1_MFR,MFR,0.9410805175628959,1.4186199315187444,1.1910583241465316,0.9217094910488799,2.558285923077491,0.4732520000061413,78.52493100000402,12.324180298459854,99.77315100002215
ExtraTreesRegressor_dataset1_MFR,MFR,1.2404497365758658,3.016125971705044,1.7366997356207101,0.833546651827541,10.012966564103793,8.694321999996646,18.46755599999028,1.7391541370167278,390.5056960000479
RandomForestRegressor_dataset1_MFR,MFR,1.3795821595015572,4.931963319229324,2.22080240436409,0.72781580900436,9.318345333331862,8.345915999996123,12.705433000007815,0.8569318804987492,363.4154679999426
SVR_poly_dataset1_poly_MFR,MFR,3.7564894561085143,28.770387216561893,5.3638034282178815,-0.5877742923673768,0.18612712820570848,0.1519979999784482,0.40279600000303617,0.049863702163961944,7.258958000022631
SVR_dataset1_poly_MFR,MFR,5.900251998848197,49.73297416784325,7.052160957312535,-1.7446532878506305,0.19533002564122773,0.15848099999971055,0.37803300000405216,0.05214969174910086,7.617871000007881
